source,id,name,category,cashback,reward_type,taksit_months,city,address,phone,website,image_url
bolkart,6003,Albano Moda,Ayaqqabı,0.0,taksit_only,1; 3; 6,,,(012) 492 19 53,,
bolkart,6004,Alident,Tibb və Sağlamlıq,5.0,cashback,1; 3; 6,,,(055) 266 65 05,,
bolkart,6007,Ambiance,Ev aksessuarları,0.0,taksit_only,1; 2; 3; 6; 12,,,(012) 498 62 94,,
bolkart,6008,Anadolu,Restoran və kafelər,5.0,cashback,1,,,(012) 498 09 01,,
bolkart,6009,Anka Kids,Uşaqlar üçün,0.0,taksit_only,1; 3; 6,,,,,
bolkart,6010,Area Mebel,Mebel,0.0,taksit_only,1; 6; 12; 18; 24,,,,https://www.soliton.az/,
bolkart,6011,Aria Baku,Ayaqqabı,0.0,taksit_only,1; 3; 6,,,(051) 778 02 77,,
bolkart,6012,Arslan Fitness Mərkəzi,Digər,0.0,taksit_only,1,,,(051) 629 11 11,,
bolkart,6013,As Men,Geyim,0.0,taksit_only,1; 3; 6,,,(055) 271 73 75,,
bolkart,6014,Asim Telecom,Mobil telefon ve aksessuarları,0.0,taksit_only,1; 3; 6,,,(055) 842 88 88,,
bolkart,6016,Asus,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,,,
bolkart,6017,Atelier Rebul,Geyim,0.0,taksit_only,1; 3; 6,,,,https://mybrands.az/men/clothing-1/united-colors-of-benetton-1,
bolkart,6018,Atəşgah Sığorta,Digər,0.0,taksit_only,6,,,"(012) 489 07 38 , (012) 940",https://ateshgah.com/,
bolkart,6019,Auto Life,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(055) 211 88 01,,
bolkart,6020,Auto Service,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(050) 672 21 22,,
bolkart,6021,Avangard Avto,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,(055) 351 50 10,,
bolkart,6022,Avirstore,Mobil telefon ve aksessuarları,0.0,taksit_only,1; 3; 6; 12,,,(055) 450 29 91,,
bolkart,6023,Avis,Aptek və Optika,0.0,taksit_only,1,,,"(012) 502 47 17, (051) 302 70 69",https://www.avismed.az/,
bolkart,6024,Avto 444,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(077) 633 34 43,,
bolkart,6025,Avto Baza,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(055) 586 58 36,,
bolkart,6026,Avto Cdi,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,(012) 561 04 22,,
bolkart,6027,Avto Ehtiyat,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 2; 6,,,(055) 441 65 05,,
bolkart,6028,Avto Market,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(070) 395 00 51,,
bolkart,6029,Avto Mir,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,"(051) 492 49 86 , (055) 857 99 72",,
bolkart,6030,Avto Shop,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(012) 562 06 90,,
bolkart,6033,Ay Çiçəyim,Güllər və hədiyyələr,0.0,taksit_only,1; 3; 6; 12,,,(055) 754 01 11,,
bolkart,6034,Ay Parfume,Parfümeriya və kosmetika,0.0,taksit_only,1,,,,,
bolkart,6035,Aylin Butik,Uşaqlar üçün,0.0,taksit_only,1,,,(050) 621 51 65,,
bolkart,6036,Azpetrol,Digər,7.0,cashback,1,,,"957, (012) 488 67 57",https://azpetrol.az/,
bolkart,6037,Azroyal,İdman malları,0.0,taksit_only,1; 2; 3; 6; 9; 12,,,,,
bolkart,6038,Azsamand,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,(050) 653 11 88,,
bolkart,6039,B&G Store,Uşaqlar üçün,0.0,taksit_only,1; 3; 6,,,(050) 291 21 09,,
bolkart,6041,Bahramoglu,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6; 12,,,"(012) 562 20 00 , (050) 562 20 00 , (055) 562 20 00 , (070) 562 20 00",https://www.bahramoglu.az/,
bolkart,6042,Baku Ceramic,Təmir və tikinti,0.0,taksit_only,1,,,(055) 795 97 90,,
bolkart,6043,Baku Depo,Saat və aksessuarlar,0.0,taksit_only,1,,,(012) 441 30 65,,
bolkart,6045,Motoverse,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,(050) 577 77 28,,
bolkart,6046,Baku Notebook,Elektronika,0.0,taksit_only,1; 3; 6; 12; 18; 24,,,(055) 772 27 99,https://www.bakunotebooks.com/,
bolkart,6048,Balf,Geyim,5.0,cashback,1,,,,,
bolkart,6049,Bamboo,Ev aksessuarları,0.0,taksit_only,1; 2; 3,,,(050) 403 55 88,,
bolkart,6050,Barkod Electronics,Elektronika,0.0,taksit_only,1; 3; 6; 12,,,(055) 209 54 47,,
bolkart,6051,Barrera,Güllər və hədiyyələr,0.0,taksit_only,1,,,,,
bolkart,6052,Be Be Boom,Geyim,8.0,cashback,1; 3; 6,,,(012) 566 72 88,,
bolkart,6053,Beatrice,Parfümeriya və kosmetika,3.0,cashback,1; 3; 6,,,"(012) 441 46 60 , (012) 440 79 93 , (055) 680 90 40 , (055) 784 11 33",,
bolkart,6057,Best Mobile,Mobil telefon ve aksessuarları,0.0,taksit_only,1,,,(055) 919 99 14,,
bolkart,6059,Bənövşə,Güllər və hədiyyələr,0.0,taksit_only,1,,,,,
bolkart,6060,Bəy Boutique,Geyim,0.0,taksit_only,1,,,(055) 825 25 11,,
bolkart,6061,Bəyəndim,Ayaqqabı,0.0,taksit_only,1; 3; 6; 12,,,(012) 408 54 03,,
bolkart,6062,Biju Mall,Saat və aksessuarlar,5.0,cashback,1; 2; 3,,,(050) 688 26 55,,
bolkart,6063,Biletx Travel,Turizm,0.0,taksit_only,1; 3; 6; 12,,,"(012) 497 09 83 , (055) 482 14 32",,
bolkart,6064,Bio Medical,Tibb və Sağlamlıq,0.0,taksit_only,1; 3; 6,,,(012) 456 40 94,,
bolkart,6065,Blue Bird Coffees,Restoran və kafelər,5.0,cashback,1,,,(050) 999 1234,https://bluebird.choiceqr.com/section:menu,
bolkart,6066,Bmw Avto,"Avtomobil, ehtiyyat hissələri və servis",0.0,taksit_only,1; 3; 6,,,(055) 865 05 04,,
bolkart,6068,Brandbiju,Saat və aksessuarlar,5.0,cashback,1; 2; 3,,,(077) 609 16 15,,
bolkart,6070,Brilliant Pərdə,Ev aksessuarları,0.0,taksit_only,1,,,(050) 620 81 18,,
bolkart,6071,Buji Moda,Saat və aksessuarlar,0.0,taksit_only,1; 3; 6,,,(070) 280 30 40,,
bolkart,6072,Business Option,Digər,0.0,taksit_only,1; 2; 3; 6; 9,,,(050) 373 57 37,,
bolkart,6073,Buta,Ayaqqabı,0.0,taksit_only,1; 3; 6,,,"(077) 600 47 47 , (050) 386 76 77",,
bolkart,6074,Butik,Geyim,0.0,taksit_only,1; 3; 6,,,,,
bolkart,6075,Büllur Elektrik,Elektronika,0.0,taksit_only,1; 3; 6; 12,,,(055) 594 09 59,,
bolkart,6076,Büllur Optika,Aptek və Optika,0.0,taksit_only,1; 3; 6,,,(050) 343 62 96,,
bolkart,6077,Büromax,Dəftərxana,0.0,taksit_only,1; 3; 6; 12,,,"(050) 263 61 93 , (050) 263 61 87",,
bolkart,6078,By Azza,Geyim,0.0,taksit_only,1; 3; 6,,,,,
bolkart,6079,By Clean,Digər,0.0,taksit_only,1; 3; 6,,,(055) 587 85 55,,
bolkart,6085,Carolina Herrera,Geyim,0.0,taksit_only,1; 3; 6,,,(012) 493 02 24,,
bolkart,6087,Cehiz Aləmi,Ev aksessuarları,0.0,taksit_only,1; 3; 6,,,(012) 566 33 80,,
bolkart,6088,Celi Shop,Geyim,0.0,taksit_only,1; 2; 3,,,(070) 525 38 83,,
bolkart,6089,Central Optik,Aptek və Optika,0.0,taksit_only,1; 3; 6,,,(023) 325 08 14,,
bolkart,6090,Central Telecom,Mobil telefon ve aksessuarları,0.0,taksit_only,1,,,,,
bolkart,6091,Ceyhun Mobile,Mobil telefon ve aksessuarları,0.0,taksit_only,6,,,(012) 370 99 99,,
bolkart,6092,Chaplin Coffee,Restoran və kafelər,5.0,cashback,1,,,(012) 497 29 76,,
bolkart,6093,Charming Women,Geyim,0.0,taksit_only,1; 3; 6,,,(055) 378 58 85,,
bolkart,6094,Chiarezza,Saat və aksessuarlar,0.0,taksit_only,1,,,(050) 230 10 80,,
bolkart,6095,Cırtdan,Uşaqlar üçün,0.0,taksit_only,3; 6; 12,,,(077) 482 08 08,,
bolkart,6096,City Dental,Tibb və Sağlamlıq,10.0,cashback,1; 3; 6,,,(012) 491 76 29,,
bolkart,6100,Collins,Geyim,0.0,taksit_only,1; 3; 6,,,(055) 325 56 10,,
bolkart,6101,Connect,Digər,0.0,taksit_only,1; 2; 3; 6,,,(012) 159,,
bolkart,6103,Crystal Parfum,Parfümeriya və kosmetika,0.0,taksit_only,1; 3; 6,,,(050) 588 00 66,,
bolkart,6104,Cümə,Geyim,0.0,taksit_only,1,,,(077) 444 05 57,,
bolkart,6105,Çağa,Uşaqlar üçün,0.0,taksit_only,1,,,(070) 544 37 66,,
bolkart,6106,Çarıkçı,Ayaqqabı,0.0,taksit_only,1,,,,,
bolkart,6107,Çeburaşka,Uşaqlar üçün,0.0,taksit_only,3; 6; 12,,,(050) 579 00 12,,
bolkart,6108,Çingiz Optika,Aptek və Optika,0.0,taksit_only,1,,,(012) 323 74 39,,
bolkart,6110,Daniel Rizotto,Geyim,0.0,taksit_only,1; 3; 6,,,(055) 440 14 82,,
bolkart,6111,Daniela Bruga,Geyim,0.0,taksit_only,1; 3; 6,,,(050) 647 06 36,,
bolkart,6112,Darkwin,Geyim,0.0,taksit_only,1,,,"(055) 789 39 89 , (012) 533 16 89",,
bolkart,6113,Dental Care,Tibb və Sağlamlıq,0.0,taksit_only,1; 3; 6,,,"(012) 450 31 11 , (050) 371 14 04",,
bolkart,6114,Dental Plus,Tibb və Sağlamlıq,10.0,cashback,1; 3; 6,,,(055) 480 84 15,,
bolkart,6115,Derimod,Ayaqqabı,0.0,taksit_only,2; 3; 6,,,"(012) 493 45 86 , (012) 598 40 72 , 070 845 01 70",,
bolkart,6116,Derma Center,Parfümeriya və kosmetika,0.0,taksit_only,3,,,"(012) 499 87 30 , (055) 201 36 99",,
bolkart,6117,Dəcəllər,Uşaqlar üçün,0.0,taksit_only,1,,,(055) 641 51 77,,
