id,name,city,category,cashback,taksits,taksit_condition,address,map_lat,map_lng,parent_id
377,Music Gallery Əhmədli filialı,Bakı,Məişət avadanlığı və elektronika,0,"2, 3, 6, 9, 12, 18, 24",Faizsiz,"Bakı şəh.,Xətai r-nu, Məhəmməd Hadi küçəsi 21D",40.3767365,49.8466641,411
378,Music Gallery,Bakı,Məişət avadanlığı və elektronika,0,"2, 3, 6, 9, 12, 18, 24",Faizsiz,"Bakı şəh.,Nəsimi r-nu, Azadlıq prospekti 14",40.376701,49.8466829,0
379,Music Gallery İnşaatçılar filialı,Bakı,Məişət avadanlığı və elektronika,0,"2, 3, 6, 9, 12, 18, 24",Faizsiz,"Bakı şəh.,Yasamal r-nu., Şərifzadə 162 (İnşaatçılar metrosunun yanı)",40.3838705,49.8111424,411
4001,Elit Optimal Şirvan,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Şirvan şəh., 20 Yanvar küç. (Energetik 5)",39.9564326803309,48.94125177116441,0
4002,Elit Optimal Biləsuvar,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Biləsuvar ray., H.Əliyev pr. 43 (Bol marketlə üzbəüz)",39.46035020263441,48.5416549914085,413
4003,Elit Optimal Gəncə,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Gəncə şəh., Kəpəz ray., köhnə Nəzrin klinikasının yanı",40.69192429789606,46.381315199999996,413
4004,Elit Optimal Qazax,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Qazax ray., H.Əliyev pr. (Leyli və Məcnun T/M ilə üzbəüz)",41.09333590000005,45.36808269999998,413
4005,Elit Optimal Neftçala,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Neftçala ray., Şəhriyar küç. 10",39.381280600000025,49.247219000000015,413
4006,Elit Optimal Ağsu,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Ağsu şəh., N.Gəncəvi küç. 8A",40.567158699999965,48.39327780000001,413
4007,Elit Optimal Şəmkir,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Şəmkir şəh., 20 Yanvar küç. (Bazar yolu)",40.82993670000002,46.02154689999998,413
4008,Elit Optimal Beyləqan,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Beyləqan ray., Magistral küç. (Bazarın yanı)",39.77423510000002,47.62291420000001,413
4009,Elit Optimal Şamaxı,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Şamaxı şəh., M.Ə.Rəsulzadə küç.",40.63989690000002,48.639110600000016,413
4010,Elit Optimal Yasamal,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Yasamal ray., A.M.Şərifzadə küç. 73",40.38407290000001,49.80351129999999,413
4011,Elit Optimal Sumgayıt,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Sumqayıt şəh., 18-ci mikrorayon dairəsi",40.55948870000002,49.69757410000001,413
4012,Elit Optimal Xırdalan,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Abşeron ray., H.Əliyev pr. 457 (H.Əliyev parkı ilə üzbəüz)",40.449472222222205,49.74577777777777,413
4013,Elit Optimal Bakıxanov,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Sabunçu ray., Bakıxanov qəs., S.Mehmandarov küç. 1B",40.428973500000005,49.957028000000015,413
4014,Elit Optimal Sədərək,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Qaradağ ray., Sədərək T.M. Şirniyyat bölməsi 2-ci sıra",40.33003089999998,49.78303030000003,413
4015,Elit Optimal Şüvəlan,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Xəzər ray., Şüvəlan qəs., A.İldırım küç. 8",40.48805555555555,50.15611111111115,413
4016,Elit Optimal Maştağa,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Sabunçu ray., Seyid İbad Ağa küç. 93A",40.533757299999984,50.0038666,413
