id,name,category,category_id,cashback_percent,taksit_months,detail_url,image_url
1942,Adore Parfumery&Cosmetics,Parfümeriya,172,,"1, 3, 6, 12",https://unibank.az/az/cards/partner/1942,https://unibank.az/uploads/items/8233-Screenshot_4.jpg
1945,Emsan,Digər,167,,"3, 6, 12, 24",https://unibank.az/az/cards/partner/1945,https://unibank.az/uploads/items/1863-emsan.png
1957,West Telecom,Texnika və Kompüterlər,168,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1957,https://unibank.az/uploads/items/imp-SJpbSGGH2Y8Maj3eAM2NVKtVmjHq6p.png
1978,Steilmann,Geyim,165,,"3, 6, 12",https://unibank.az/az/cards/partner/1978,https://unibank.az/uploads/items/imp-gMcscrApAbB6fZxdaFDUcMqDGVNZRd.jpg
1991,Dunlop Habilead,Avto,181,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1991,https://unibank.az/uploads/items/noImageGifts.png
1996,Asus Brand Store,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1996,https://unibank.az/uploads/items/imp-MUubKtUkfWevH9UGNuqEhu3aT3SxAz.png
1997,Mi Consept Store,Texnika və Kompüterlər,168,,"3, 6, 12",https://unibank.az/az/cards/partner/1997,https://unibank.az/uploads/items/noImageGifts.png
2013,Baku Karting,İstirahət və Əyləncə,182,,"3, 6",https://unibank.az/az/cards/partner/2013,https://unibank.az/uploads/items/1718-download.jpg
2018,Era electronics,Texnika və Kompüterlər,168,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/2018,https://unibank.az/uploads/items/noImageGifts.png
2022,Barkod Electronics,Texnika və Kompüterlər,168,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/2022,https://unibank.az/uploads/items/1250-logo (1) (1).png
2026,Comfort İnşaat,Digər,167,,"3, 6, 12",https://unibank.az/az/cards/partner/2026,https://unibank.az/uploads/items/noImageGifts.png
2032,Lucky Kids,Uşaq üçün,174,,"3, 6",https://unibank.az/az/cards/partner/2032,https://unibank.az/uploads/items/noImageGifts.png
