id,name,slug,cashback,birbonus,umico_bonus,categories,cities,installments,max_taksit_month,payment_methods,is_bnpl,has_barcode,phone,website,instagram,facebook,voen,image_url,order,created_at,updated_at,published_at
18010,OVS,ovs,,,,Geyim,,2; 3; 6,,,,,,,,,1403659511,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/ovs_4cbe7a6c89.png,53,2023-10-19T09:56:07.610Z,2025-12-16T10:50:15.958Z,2023-10-19T09:56:09.045Z
18137,United Sport,united-sport,,,,İdman malları,,2; 3,,,,,,,https://www.instagram.com/unitedsport/?hl=en ,,1300706221,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_ff0c3b6e1d.png,55,2023-10-19T17:40:07.736Z,2026-01-26T11:54:56.989Z,2023-10-19T17:40:09.114Z
18139,Pandora,pandora-1,,,,Zinət əşyaları,,2; 3; 6,,,,,,,https://www.instagram.com/pandora__azerbaijan/?hl=en ,,1400930441,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Pandora_3fc7402361.png,56,2023-10-19T17:42:07.686Z,2026-01-14T11:20:47.523Z,2023-10-19T17:42:09.204Z
18136,Go Sport,g-nclik-mall,,,,İdman malları,,2; 3; 6; 12,,,,,,https://www.gosport.az/ ,https://www.instagram.com/gosportbaku/,https://www.facebook.com/gosportbaku,1402773251,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/gosport_f6cd5806bf.png,57,2023-10-19T17:39:57.220Z,2025-12-16T10:52:29.222Z,2023-10-19T17:39:58.424Z
17118,Mavi,mavi-1,,,,Geyim,,2; 3,,,,,,,https://www.instagram.com/maviazerbaycan/ ,,1701648111,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Mavi_e442f7d62e.png,59,2023-07-10T12:57:51.863Z,2025-06-23T13:08:47.444Z,2023-08-16T11:01:30.894Z
17066,Forte Fashion,forte-fashion,,1,,Geyim,,2; 3,,,,,,,https://www.instagram.com/forte_kids_/,https://www.facebook.com/Forte.kidss,2008149791,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/fortefashion_b50e9eb7b7.png,60,2023-07-10T12:57:50.955Z,2025-05-22T06:30:24.185Z,2023-08-15T15:27:33.772Z
17119,Ege Hospital,ege-hospital,3,3,,Tibb,,,,,,,,,,,,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Ege_hospital_b03c1a9520.png,61,2023-07-10T12:57:51.879Z,2025-05-22T06:29:53.054Z,2023-08-16T11:02:10.990Z
17965,World Telecom,world-telecom,,,,Elektronika və Texnika,,2; 3; 6; 9; 12; 18,,,,,,https://www.w-t.az/,https://www.instagram.com/worldtelecom,https://www.facebook.com/wtelecom/,1309233021,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/worldtelecom_b493568e07.png,62,2023-10-19T07:29:56.755Z,2026-02-10T10:37:56.532Z,2023-10-19T07:30:00.252Z
18194,Omid,omid,,,,İnşaat materialları,,2; 3,,,,,,,https://www.instagram.com/omid.mmc/,https://www.facebook.com/omid.mmc/,1504919041,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/omid_5104784797.png,64,2024-02-13T13:13:30.629Z,2026-01-14T13:30:56.521Z,2024-02-13T13:13:33.990Z
17997,Homme.,homme,,,,Ev aksessuarları,,2; 3; 6; 12; 18,,,,,,,https://www.instagram.com/hommeaze/ ,,1703614711,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/homme_cdb0379869.png,65,2023-10-19T09:03:49.542Z,2025-12-29T13:50:12.001Z,2023-10-19T09:03:51.537Z
18067,Lab 151,lab-151,,,,Parfümeriya və Kosmetika,,2; 3; 6; 9; 12,,,,,,,https://www.instagram.com/lab_151beauty/,https://www.facebook.com/lab151,2006228721,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/lab151_97c085649f.png,67,2023-10-19T13:10:16.299Z,2026-01-06T05:50:58.327Z,2023-10-19T13:10:17.520Z
17325,Flyex.az,flyex-az,5,5,,Digər,,,,,,,,,,,,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/flyex_5b0e9c91ae.png,68,2023-07-10T12:57:54.577Z,2025-05-22T06:28:02.559Z,2023-08-18T11:16:31.505Z
15048,Smart Electronics,smart-electronics,,,,Elektronika və Texnika,,2; 3; 6; 9; 12; 18,,,,,,https://smartelectronics.az/az/   ,https://www.instagram.com/smartelectronics.azerbaijan/,https://www.facebook.com/people/Smart-Electronics/61552657750622/,1505351641,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Smart_electronics_6b01975800.png,69,2023-07-10T12:51:26.194Z,2025-12-01T15:11:15.767Z,2023-10-20T08:53:52.156Z
17126,Altınyıldız,altinyildiz,,,,Geyim,,2; 3,,,,,,,https://www.instagram.com/altinyildizclassics_az/,,1701648111,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Altin_Yildiz_PNG_b7052702ac.png,72,2023-07-10T12:57:51.958Z,2025-06-23T13:07:49.423Z,2023-08-16T11:10:49.028Z
17114,Greyder,greyder,,,,Ayaqqabı və çanta,,2; 3,,,,,,,https://www.instagram.com/greyderaz/ ,,1701648111,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/greyder_yeni_logolar_PNG_3_611eef9f12.png,74,2023-07-10T12:57:51.806Z,2025-06-23T13:08:26.719Z,2023-08-16T10:59:05.532Z
17063,Arash Medical,arash-medical,5,5,,Tibb,,,,,,,,,,,,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/arash_5f020fef27.png,75,2023-07-10T12:57:50.912Z,2025-05-22T06:24:51.865Z,2023-08-15T15:22:53.084Z
17060,Elit Optimal,elit-optimal,2,2,,Elektronika və Texnika,,2; 3; 6; 9; 12; 18,,,,,,https://www.elitoptimal.az/ ,https://www.instagram.com/elit_optimal/,,1406293461,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/elit_optimal_e5a02d92b9.png,76,2023-07-10T12:57:50.872Z,2026-01-28T10:11:59.915Z,2023-09-29T13:03:12.754Z
