id,name_az,name_en,name_ru,description_az,description_en,description_ru,phone_number,site_url,cashback,category_id,category_az,category_en,category_ru,social_medias,cities_count,taksits,icon_url,logo_url,status,order_number,is_new,at_home,popularity,hidden,insert_date,branches_count,home_no,whatsapp_link
6247,İmperial Motors,İmperial Motors,İmperial Motors,,,,(050) 365 00 73,,0.0,196,"Avtomobil, ehtiyyat hissələri və servis","Avtomobil, ehtiyyat hissələri və servis","Avtomobil, ehtiyyat hissələri və servis",,1,1; 3; 6,,,True,267,False,,3,False,,0,,
6248,İmplant,İmplant,İmplant,,,,(018) 642 18 96,,0.0,186,Tibb və Sağlamlıq,Tibb və Sağlamlıq,Tibb və Sağlamlıq,,1,1; 3; 6; 12,,,True,268,False,,3,False,,0,,
6249,İncə,İncə,İncə,,,,(012) 567 16 71,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,269,False,,3,False,,0,,
6250,İnci,İnci,İnci,,,,(051) 412 99 99,,0.0,195,Təmir və tikinti,Təmir və tikinti,Təmir və tikinti,,1,1; 3; 6,,,True,270,False,,3,False,,0,,
6251,İnci Butik,İnci Butik,İnci Butik,,,,(012) 452 85 03,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,271,False,,3,False,,0,,
6252,İnci Dent,İnci Dent,İnci Dent,,,,(012) 561 02 55,,0.0,186,Tibb və Sağlamlıq,Tibb və Sağlamlıq,Tibb və Sağlamlıq,,1,1; 3; 6,,,True,272,False,,3,False,,0,,
6253,İnci Diş,İnci Diş,İnci Diş,,,,(012) 429 33 24,,0.0,186,Tibb və Sağlamlıq,Tibb və Sağlamlıq,Tibb və Sağlamlıq,,1,1,,,True,273,False,,3,False,,0,,
6254,İnci Dişlər,İnci Dişlər,İnci Dişlər,,,,(050) 313 17 35,,0.0,186,Tibb və Sağlamlıq,Tibb və Sağlamlıq,Tibb və Sağlamlıq,,1,1,,,True,274,False,,3,False,,0,,
6256,Jaime Boutique,Jaime Boutique,Jaime Boutique,,,,(055) 617 30 70,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,276,False,,3,False,,0,,
6257,Jakamen,Jakamen,Jakamen,,,,"(012) 566 62 16 , (050) 963 29 88",,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,277,False,,3,False,,0,,
